year_BP,dD_botryococcene_avg,Std_dev
-51,-242.1,2.5 
-41,-239.3,1.1 
-32,-237.5,6.3 
-27,-237.3,0.2 
-14,-229.6,2.3 
-7,-233.2,4.8 
3,-231.3,
14,-234.8,2.2 
26,-227.0,
40,-230.7,
53,-228.6,
61,-223.9,3.4 
69,-225.1,2.2 
85,-239.3,2.2 
93,-242.6,1.6 
101,-258.3,2.6 
109,-256.1,1.1 
116,-259.7,2.8 
140,-259.1,2.6 
164,-271.2,1.9 
188,-267.5,1.4 
215,-264.2,0.3 
242,-265.1,2.0 
269,-268.5,1.5 
296,-262.6,1.8 
314,-262.0,0.9 
323,-283.3,3.5 
359,-272.6,2.1 
396,-279.6,5.2 
433,-268.6,1.9 
468,-280.7,0.9 
490,-270.3,0.4 
534,-266.5,1.5 
582,-277.7,1.4 
633,-280.2,0.1 
722,-283.6,0.5 
810,-266.8,3.1 
899,-254.7,1.0 
983,-249.5,1.7 
1024,-255.6,2.8 
1065,-257.0,4.3 
1106,-245.0,3.9 
1148,-230.9,1.7 
1198,-214.5,8.3 
1296,-262.8,3.7 	
1573,-245.3,2.0 
1678,-239.8,5.1 
1783,-243.4,1.8 
1898,-255.1,1.9 
2013,-254.1,6.0 
2129,-250.2,2.8 
2244,-247.5,1.3 
2365,-246.8,5.3 
2487,-250.1,1.5 
2608,-248.1,3.5 
2729,-247.9,2.3 
2790,-252.6,2.2 
2852,-256.5,2.3 
2913,-254.5,2.2 
2975,-253.4,0.6 
3062,-256.6,1.3 
3105,-258.1,2.9 
3289,-258.9,0.2 
3472,-268.8,3.6 
3656,-263.3,6.6 
3840,-261.2,4.3 
3951,-229.1,3.1 
4063,-253.1,1.8 
4175,-240.4,6.6 
4546,-224.8,3.5 
4806,-240.6,0.7 
5065,-228.2,6.2 
5861,-285.7,2.7 
6129,-264.5,4.0 
6398,-263.8,2.8 
6636,-285.7,1.8 
6873,-262.8,2.6 
7111,-222.9,2.6 
7349,-240.3,4.2 
7585,-262.4,5.4 
7820,-265.9,1.0 
8662,-260.1,3.8 
8846,-259.4,4.0 
8993,-272.6,4.7 
9103,-259.3,3.8 
