year_BP,Log_botryococcene_concentration_mgg
-51,2.264 
-36,1.190 
-22,0.924 
3,0.730 
40,0.504 
69,0.659 
93,1.407 
116,1.904 
140,2.111 
164,2.361 
188,2.224 
215,2.233 
242,2.223 
269,2.035 
296,2.136 
323,2.762 
350,4.120 
359,4.369 
396,4.173 
433,4.346 
468,4.649 
490,4.458 
534,4.525 
582,4.389 
633,5.022 
722,5.188 
810,4.777 
899,3.763 
983,3.396 
1024,2.907 
1065,2.905 
1106,2.524 
1148,1.446 
1198,0.949 
1247,
1296,3.195 
1352,
1363,
1468,0.400 
1573,3.147 
1678,3.000 
1783,3.235 
1898,3.536 
2013,3.678 
2129,5.042 
2244,4.110 
2365,3.256 
2487,3.757 
2608,4.596 
2729,2.491 
2790,2.681 
2852,2.978 
2913,3.323 
2975,3.908 
3062,2.786 
3105,4.244 
3289,3.746 
3472,1.932 
3656,2.699 
3840,1.750 
3951,0.621 
4063,1.532 
4175,0.718 
4287,0.396 
4546,0.484 
4806,0.576 
5065,0.098 
5324,0.830 
5592,-0.285 
5861,4.212 
6129,1.152 
6398,1.326 
6636,3.865 
6873,0.922 
7111,0.026 
7349,1.775 
7585,3.415 
7820,3.305 
8056,-0.276 
8293,-0.161 
8478,0.339 
8662,3.918 
8846,1.506 
8993,1.571 
9103,1.934 
