"bin","spd_count","median_count","spd_minus_med","raw_count","enso_pca","enso_scaled","enso_pos","enso_neg"
3800,0.008,0,0.008,0,-3.232,-0.9797,0,0.9797
3700,0.071,4,-3.929,6,-3.0045,-0.8379,0,0.8379
3600,3.074,6,-2.926,6,-3.1165,-0.9077,0,0.9077
3500,5.076,10,-4.924,11,-2.8549,-0.7448,0,0.7448
3400,5.084,9,-3.916,9,-2.3961,-0.459,0,0.459
3300,2.09,4,-1.91,4,-3.0794,-0.8846,0,0.8846
3200,4.093,6,-1.907,6,-3.2986,-1.0211,0,1.0211
3100,1.095,4,-2.905,4,-2.9743,-0.8191,0,0.8191
3000,3.095,7,-3.905,7,-2.2755,-0.3839,0,0.3839
2900,0.095,3,-2.905,7,-2.4125,-0.4692,0,0.4692
2800,8.095,17,-8.905,18,2.3081,2.4711,2.4711,0
2700,7.093,11,-3.907,11,0.5015,1.3458,1.3458,0
2600,3.09,9,-5.91,10,-0.7062,0.5936,0.5936,0
2500,14.087,23,-8.913,25,0.3498,1.2513,1.2513,0
2400,8.083,16,-7.917,19,-1.6185,0.0253,0.0253,0
2300,2.083,15,-12.917,16,-2.6185,-0.5975,0,0.5975
2200,9.084,30,-20.916,32,-2.5827,-0.5752,0,0.5752
2100,5.099,17,-11.901,22,-2.113,-0.2826,0,0.2826
2000,8.136,26,-17.864,34,-3.1493,-0.9282,0,0.9282
1900,13.185,28,-14.815,36,-2.7627,-0.6873,0,0.6873
1800,20.243,49,-28.757,62,-2.634,-0.6072,0,0.6072
1700,16.373,34,-17.627,47,-2.0791,-0.2616,0,0.2616
1600,20.522,45,-24.478,50,-1.7466,-0.0544,0,0.0544
1500,30.783,41,-10.217,49,-1.9405,-0.1752,0,0.1752
1400,42.05,54,-11.95,65,-1.6746,-0.0096,0,0.0096
1300,46.523,60,-13.477,69,1.5237,1.9825,1.9825,0
1200,44.964,56,-11.036,61,0.1868,1.1498,1.1498,0
1100,28.603,39,-10.397,44,-2.5781,-0.5723,0,0.5723
1000,25.359,44,-18.641,61,-3.5007,-1.147,0,1.147
900,38.128,64,-25.872,75,-2.5568,-0.5591,0,0.5591
800,63.634,89,-25.366,108,-0.421,0.7712,0.7712,0
700,100.74,105,-4.26,130,1.3931,1.9012,1.9012,0
600,152.32,121,31.32,162,0.3891,1.2758,1.2758,0
500,387.941,74,313.941,89,0.2617,1.1965,1.1965,0
